Soft Rock,Pop Rock
Indie Rock,Alt Rock
Nashville Sound,Country Pop
Chicago Soul,R&B
Psychedelic Rock,Alt Rock
Dirty South,Southern Hip Hop
Indie Rock,Alt Rock
Sophisti-Pop,Smooth Jazz
Alt Rock,Art Rock
Symphonic Rock,Alt Rock
Ambient,Electronic
Singer/Songwriter,Contemporary Folk
Baroque Pop,Sunshine Pop
French House,EDM
Art Pop,Electronic
French House,EDM
Impressionism,Western Classical
Indie Pop,Twee Pop
Alt Rock,Art Rock
Chamber Pop,Indie Pop
Indie Rock,Alt Rock
Avant-Garde Jazz,Third Stream
Soul,R&B
Folk Pop,Contemporary Folk
Sunshine Pop,Baroque Pop
Grime,Electronic
Soft Rock,Pop Rock
Rock & Roll,Pop Rock
Contemporary R&B,Dance-Pop
Power Pop,Pop Rock
Alt Rock,Art Rock
Psychedelic Pop,Baroque Pop
Art Pop,Psychedelic Pop
Singer/Songwriter,Indie Pop
Psychedelic Pop,Art Pop
IDM,Electronic
Funk,R&B
Funk,R&B
Heartland Rock,Pop Rock
Singer/Songwriter,Art Rock
New Wave,Rock
Contemporary Folk,Singer/Songwriter
Dance-Pop,Contemporary R&B
Contemporary Country,Singer/Songwriter
Pop Rock,Piano Rock
Contemporary Folk,Singer/Songwriter
Pop Rock,Singer/Songwriter
Singer/Songwriter,Pop Rock
Contemporary Folk,Singer/Songwriter
Avant-Garde Jazz,Third Stream
Avant-Garde Jazz,Third Stream
Avant-Garde Jazz,Third Stream
Indie Pop,Art Pop
Alt Rock,Singer/Songwriter
Neo-Soul,Contemporary R&B
Southern Soul,R&B
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
Vaporwave,Electronic
Glam Rock,Pop Rock
Progressive House,EDM
Neo-Psychedelia,Psychedelic Pop
French House,EDM
Pop Rock,Alt Rock
Neo-Soul,R&B
Alt Rock,Indie Rock
Shoegaze,Alt Rock
Folk Pop,Contemporary Folk
Swamp Rock,Roots Rock
Brutal Death Metal,Technical Death Metal
Alt Metal,Alt Rock
Neo-Soul,R&B
Alt Rock,Singer/Songwriter
Heavy Metal,Speed Metal
Nu Metal,Alt Metal
Contemporary Folk,Singer/Songwriter
Chamber Music,Western Classical
Uplifting Trance,EDM
Alt Rock,Art Rock
Acoustic Rock,Alt Rock
French House,EDM
Bubblegum Bass,EDM
Post-Rock,Art Rock
Post-Rock,Art Rock
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
French House,EDM
Piano Blues,Singer/Songwriter
A cappella,Singer/Songwriter
West Coast Hip Hop,Conscious Hip Hop
Television Soundtrack,Ambient
Southern Soul,R&B
Space Ambient,Film Soundtrack
Instrumental Hip Hop,Cloud Rap
Swamp Rock,Roots Rock
Indie Rock,Alt Rock
Horrorcore,Hardcore Hip Hop
Soft Rock,Pop Rock
Deep House,EDM
Contemporary Folk,Singer/Songwriter
Baroque Pop,Art Pop
Neo-Soul,Contemporary R&B
Contemporary R&B,Dance-Pop
Prog Rock,Alt Rock
Contemporary Folk,Singer/Songwriter
Indie Rock,Alt Rock
Indie Rock,Alt Rock
Alt Rock,Art Rock
Alt Rock,Art Rock
IDM,Electronic
Alt Rock,Art Rock
Rap Metal,Alt Metal
Post-Punk,Alt Rock
Bubblegum Bass,EDM
Deep House,EDM
Post-Rock,Art Rock
Post-Rock,Art Rock
Post-Rock,Art Rock
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
Country Pop,Singer/Songwriter
Country Pop,Singer/Songwriter
Ambient,Electronic
Contemporary Country,Country Pop
Jazz Fusion,ECM Style Jazz
Jazz Fusion,ECM Style Jazz
Indie Rock,Alt Rock
Alt Rock,Art Rock
Europop,Pop
IDM,Electronic
Post-Bop,Jazz
Post-Hardcore,Punk
Contemporary Folk,Singer/Songwriter
Singer/Songwriter,Contemporary Folk
Teen Pop,Dance-Pop
New Wave,Pop Rock
West Coast Hip Hop,Abstract Hip Hop
East Coast Hip Hop,Hardcore Hip Hop
Neo-Psychedelia,Post-Punk
Post-Bop,Jazz
Prog Rock,Art Rock
Neo-Soul,R&B
Neo-Soul,Contemporary R&B
Jazz Fusion,Modal Jazz
Jazz Fusion,Modal Jazz
Pop Soul,R&B
Art Rock,Rock Opera
Pop Soul,R&B
Pop Soul,R&B
Neo-Soul,Contemporary R&B
Post-Rock,Art Rock
Pop Rock,Singer/Songwriter
Pop Soul,R&B
Post-Hardcore,Punk
Hard Rock,Proto-Punk
Indie Folk,Contemporary Folk
Contemporary Country,Singer/Songwriter
Disco,Dance
Piano Rock,Pop Rock
Piano Rock,Pop Rock
Alt R&B,Contemporary R&B
A cappella,Art Pop
Post-Bop,Jazz
Contemporary R&B,Art Pop
Modal Jazz,Post-Bop
Contemporary Country,Singer/Songwriter
Singer/Songwriter,Contemporary Folk
Avant-Garde Jazz,Jazz Fusion
Contemporary R&B,Television Soundtrack
Indie Rock,Alt Rock
Pop Rock,New Wave
Art Pop,Art Rock
Singer/Songwriter,Pop
Adult Contemporary,Pop
Chamber Music,Western Classical
Alt R&B,Contemporary R&B
Post-Rock,Art Rock
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
Hardcore Hip Hop,West Coast Hip Hop
Baroque Pop,Sunshine Pop
Neo-Psychedelia,Psychedelic Pop
New Wave,Pop Rock
Indie Pop,Art Pop
Progressive House,EDM
Contemporary R&B,Dance-Pop
Dance-Pop,Contemporary R&B
Pop Rock,New Wave
Indie Rock,Alt Rock
Cloud Rap,Trap (Hip Hop)
New Wave,Pop Rock
Acid House,EDM
Contemporary R&B,Dance-Pop
Contemporary R&B,Synth Funk
Smooth Soul,R&B
Smooth Soul,Contemporary R&B
Progressive House,EDM
Deep House,EDM
Doo-Wop,R&B
New Wave,Pop Rock
Psychedelic Pop,Indie Pop
Metalcore,Punk
Downtempo,Electronic
Post-Hardcore,Punk Rock
Piano Rock,Pop Rock
Pop Soul,R&B
Contemporary Folk,Singer/Songwriter
Indie Pop,Art Pop
West Coast Hip Hop,Conscious Hip Hop
West Coast Hip Hop,Conscious Hip Hop
Pop Rock,Teen Pop
Contemporary R&B,Art Pop
Europop,Pop Rock
Atmospheric Drum and Bass,EDM
Contemporary Folk,Singer/Songwriter
Contemporary Folk,Singer/Songwriter
Soft Rock,Pop Rock
Romanian Dance-Pop,EDM
Punk Rock,Post-Punk
Spiritual Jazz,Avant-Garde Jazz
Spiritual Jazz,Avant-Garde Jazz
Spiritual Jazz,Avant-Garde Jazz
Spiritual Jazz,Avant-Garde Jazz
Grunge,Alt Rock
Alt Rock,Acoustic Rock
Neo-Soul,Contemporary R&B
Dance-Pop,Teen Pop
Power Pop,Pop Rock
Power Pop,Pop Rock
Pop Rock,Piano Rock
Art Rock,Prog Rock
Post-Bop,Jazz
Neo-Psychedelia,Progressive Pop
Neo-Psychedelia,Psychedelic Pop
Ambient,Electronic
Ambient,Electronic
Ambient,Electronic
Ambient,Electronic
Ambient,Electronic
IDM,Electronic
Psychedelic Pop,Baroque Pop
Chamber Pop,Indie Pop
Southern Soul,R&B
Southern Soul,R&B
Contemporary R&B,Dance-Pop
Dance-Pop,Contemporary R&B
Vocal Trance,EDM
Indie Rock,Alt Rock
J-Pop,Television Soundtrack
AOR,Rock
IDM,Electronic
IDM,Electronic
Glitch (Experimental),Electronic
Pop Rock,Teen Pop
J-Pop,Television Soundtrack
J-Pop,Television Soundtrack
Detroit Techno,EDM
Boy Band,Pop
Power Pop,Pop Rock
Indie Rock,Alt Rock
Gothic Rock,Post-Punk
Indie Rock,Alt Rock
Baroque Pop,Art Pop
Rap Rock,East Coast Hip Hop
East Coast Hip Hop,Electro (EDM)
Sunshine Pop,Pop Rock
Pop Rock,Piano Rock
Hard Rock,Art Rock
Pop Rock,Symphonic Rock
New Jack Swing,Contemporary R&B
Indie Pop,Twee Pop
Pop Soul,R&B
Contemporary R&B,Dance-Pop
Contemporary R&B,Pop Soul
Southern Hip Hop,Dirty South
Southern Hip Hop,Conscious Hip Hop
Indie Rock,Alt Rock
Indie Folk,Contemporary Folk
Contemporary Folk,Singer/Songwriter
Teen Pop,Boy Band
Riot Grrrl,Punk Rock
Traditional Doom Metal,Heavy Metal
Heavy Metal,Hard Rock
Heavy Metal,Hard Rock
Hard Rock,Prog Rock
Singer/Songwriter,Contemporary Folk
Contemporary Folk,Singer/Songwriter
Soul,R&B
Pop Rock,AOR
Post-Bop,Jazz
AOR,Hard Rock
Math Rock,Post-Rock
Contemporary R&B,Pop Soul
Art Rock,Post-Rock
Contemporary Country,Singer/Songwriter
Piano Rock,Pop Rock
Singer/Songwriter,Contemporary Folk
Pop Rock,Singer/Songwriter
New Wave,Pop Rock
New Jack Swing,Contemporary R&B
K-Pop,Dance-Pop
Prog Rock,Hard Rock
Indie Rock,Alt Rock
Indie Rock,Alt Rock
Baroque Music,Western Classical
Baroque Music,Western Classical
Trap (Hip Hop),East Coast Hip Hop
Disco,Dance
Neo-Soul,Contemporary R&B
Atmospheric Drum and Bass,EDM
Post-Bop,Jazz
Post-Bop,Jazz
Post-Bop,Jazz
Post-Bop,Jazz
Post-Bop,Jazz
Third Stream,Jazz
Avant-Garde Jazz,Third Stream
Bebop,Jazz
